x,qx
0,0.000222839
1,0.000223194
2,0.000223593
3,0.000224042
4,0.000224546
5,0.000225113
6,0.000225750
7,0.000226466
8,0.000227271
9,0.000228175
10,0.000229192
11,0.000230335
12,0.000231620
13,0.000233063
14,0.000234686
15,0.000236510
16,0.000238561
17,0.000240865
18,0.000243455
19,0.000246367
20,0.000249639
21,0.000253317
22,0.000257451
23,0.000262098
24,0.000267321
25,0.000273192
26,0.000279791
27,0.000287208
28,0.000295544
29,0.000304914
30,0.000315446
31,0.000327284
32,0.000340589
33,0.000355544
34,0.000372353
35,0.000391246
36,0.000412482
37,0.000436350
38,0.000463177
39,0.000493330
40,0.000527220
41,0.000565312
42,0.000608126
43,0.000656246
44,0.000710330
45,0.000771117
46,0.000839437
47,0.000916224
48,0.001002525
49,0.001099518
50,0.001208527
51,0.001331040
52,0.001468726
53,0.001623462
54,0.001797357
55,0.001992778
56,0.002212387
57,0.002459169
58,0.002736479
59,0.003048084
60,0.003398211
61,0.003791608
62,0.004233600
63,0.004730165
64,0.005288009
65,0.005914652
66,0.006618528
67,0.007409089
68,0.008296929
69,0.009293913
70,0.010413327
71,0.011670038
72,0.013080677
73,0.014663832
74,0.016440266
75,0.018433156
76,0.020668344
77,0.023174621
78,0.025984020
79,0.029132141
80,0.032658484
81,0.036606808
82,0.041025490
83,0.045967901
84,0.051492772
85,0.057664543
86,0.064553690
87,0.072236990
88,0.080797715
89,0.090325714
90,0.100917344
91,0.112675199
92,0.125707581
93,0.140127633
94,0.156052064
95,0.173599361
96,0.192887392
97,0.214030286
98,0.237134491
99,0.262293896
100,0.289583953
101,0.319054752
102,0.350723099
103,0.384563692
104,0.420499696
105,0.458393122
106,0.498035672
107,0.539140932
108,0.581339070
109,0.624175384
110,0.667114224
111,1.000000000
